"year","predicted"
2007,146
2008,140
2009,138
2010,130
2011,136
2012,148
2013,140
2014,136
2015,139
2016,137
2017,133
2018,137
2019,136
2020,135
2021,136
2022,132
2023,131
2024,136
2025,137
2026,148
2027,138
2028,128
2029,128
2030,130
2031,130
2032,138
2033,127
2034,130
2035,133
2036,132
2037,135
2038,132
2039,140
2040,137
2041,134
2042,127
2043,138
2044,128
2045,129
2046,130
2047,129
2048,126
2049,135
2050,128
2051,129
2052,128
2053,135
2054,128
2055,132
2056,133
2057,136
2058,126
2059,135
2060,129
2061,130
2062,138
2063,128
2064,129
2065,126
2066,119
2067,129
2068,127
2069,133
2070,127
2071,125
2072,126
2073,125
2074,124
2075,129
2076,127
2077,127
2078,125
2079,126
2080,129
2081,120
2082,129
2083,123
2084,126
2085,125
2086,122
2087,118
2088,123
2089,125
2090,125
2091,129
2092,121
2093,116
2094,128
2095,124
2096,120
2097,120
2098,124
2099,137
