"year","predicted"
2007,71
2008,51
2009,58
2010,34
2011,68
2012,40
2013,40
2014,48
2015,54
2016,54
2017,47
2018,76
2019,47
2020,48
2021,61
2022,42
2023,73
2024,59
2025,65
2026,52
2027,75
2028,59
2029,69
2030,35
2031,71
2032,47
2033,62
2034,54
2035,40
2036,43
2037,62
2038,70
2039,41
2040,42
2041,39
2042,55
2043,79
2044,68
2045,53
2046,54
2047,55
2048,63
2049,44
2050,49
2051,60
2052,70
2053,51
2054,60
2055,39
2056,52
2057,33
2058,56
2059,70
2060,60
2061,73
2062,64
2063,39
2064,48
2065,32
2066,65
2067,46
2068,84
2069,67
2070,44
2071,67
2072,66
2073,40
2074,53
2075,55
2076,44
2077,64
2078,56
2079,50
2080,37
2081,62
2082,48
2083,42
2084,67
2085,44
2086,48
2087,35
2088,65
2089,58
2090,42
2091,39
2092,18
2093,35
2094,79
2095,71
2096,32
2097,68
2098,42
2099,64
