"year","predicted"
2007,110
2008,117
2009,119
2010,118
2011,122
2012,120
2013,104
2014,107
2015,116
2016,114
2017,107
2018,114
2019,103
2020,113
2021,111
2022,109
2023,106
2024,106
2025,123
2026,116
2027,115
2028,106
2029,114
2030,107
2031,106
2032,109
2033,120
2034,107
2035,104
2036,117
2037,111
2038,113
2039,104
2040,113
2041,106
2042,109
2043,106
2044,119
2045,112
2046,112
2047,111
2048,104
2049,104
2050,121
2051,105
2052,103
2053,107
2054,104
2055,110
2056,107
2057,112
2058,119
2059,122
2060,115
2061,117
2062,112
2063,103
2064,118
2065,116
2066,108
2067,113
2068,104
2069,110
2070,115
2071,113
2072,104
2073,124
2074,126
2075,110
2076,107
2077,118
2078,104
2079,104
2080,110
2081,106
2082,107
2083,107
2084,104
2085,108
2086,104
2087,109
2088,110
2089,113
2090,117
2091,105
2092,104
2093,125
2094,113
2095,112
2096,106
2097,106
2098,107
2099,114
2100,108
