"year","predicted"
2007,194
2008,174
2009,187
2010,169
2011,161
2012,192
2013,204
2014,170
2015,187
2016,168
2017,193
2018,173
2019,191
2020,194
2021,101
2022,190
2023,109
2024,185
2025,171
2026,156
2027,94
2028,157
2029,204
2030,184
2031,204
2032,180
2033,193
2034,150
2035,91
2036,188
2037,186
2038,237
2039,215
2040,193
2041,182
2042,207
2043,183
2044,82
2045,192
2046,176
2047,205
2048,93
2049,190
2050,188
2051,173
2052,189
2053,193
2054,170
2055,171
2056,170
2057,101
2058,203
2059,191
2060,142
2061,201
2062,194
2063,119
2064,185
2065,206
2066,173
2067,191
2068,171
2069,114
2070,160
2071,194
2072,174
2073,182
2074,214
2075,181
2076,181
2077,187
2078,182
2079,170
2080,189
2081,196
2082,192
2083,104
2084,177
2085,153
2086,116
2087,198
2088,196
2089,184
2090,166
2091,194
2092,187
2093,84
2094,84
2095,193
2096,200
2097,207
2098,183
2099,231
2100,220
