"year","predicted"
2007,143
2008,142
2009,132
2010,137
2011,145
2012,134
2013,129
2014,134
2015,133
2016,136
2017,135
2018,134
2019,133
2020,137
2021,142
2022,136
2023,137
2024,140
2025,134
2026,139
2027,131
2028,133
2029,136
2030,133
2031,133
2032,135
2033,142
2034,129
2035,135
2036,134
2037,138
2038,140
2039,130
2040,128
2041,123
2042,137
2043,131
2044,132
2045,131
2046,125
2047,130
2048,138
2049,133
2050,131
2051,132
2052,127
2053,138
2054,137
2055,137
2056,134
2057,127
2058,132
2059,131
2060,133
2061,131
2062,129
2063,130
2064,123
2065,128
2066,123
2067,134
2068,129
2069,137
2070,124
2071,124
2072,124
2073,137
2074,135
2075,127
2076,133
2077,127
2078,133
2079,126
2080,135
2081,127
2082,130
2083,136
2084,136
2085,126
2086,124
2087,131
2088,141
2089,133
2090,132
2091,130
2092,129
2093,124
2094,126
2095,136
2096,123
2097,126
2098,127
2099,126
2100,129
