"year","predicted"
2007,65
2008,72
2009,62
2010,65
2011,56
2012,71
2013,91
2014,60
2015,79
2016,65
2017,31
2018,54
2019,56
2020,49
2021,60
2022,76
2023,66
2024,63
2025,45
2026,70
2027,53
2028,67
2029,57
2030,110
2031,65
2032,57
2033,61
2034,73
2035,46
2036,51
2037,68
2038,76
2039,77
2040,58
2041,68
2042,49
2043,55
2044,37
2045,63
2046,60
2047,62
2048,68
2049,47
2050,33
2051,49
2052,58
2053,58
2054,36
2055,39
2056,41
2057,38
2058,55
2059,69
2060,60
2061,38
2062,77
2063,56
2064,32
2065,57
2066,84
2067,45
2068,51
2069,71
2070,65
2071,58
2072,60
2073,75
2074,58
2075,62
2076,74
2077,40
2078,50
2079,45
2080,48
2081,48
2082,59
2083,58
2084,47
2085,76
2086,32
2087,66
2088,46
2089,36
2090,60
2091,37
2092,45
2093,32
2094,47
2095,40
2096,49
2097,45
2098,55
2099,64
2100,80
