"year","predicted"
2007,238
2008,209
2009,179
2010,207
2011,208
2012,221
2013,220
2014,181
2015,202
2016,128
2017,241
2018,188
2019,236
2020,219
2021,195
2022,209
2023,125
2024,252
2025,226
2026,227
2028,225
2029,260
2030,219
2031,247
2033,242
2034,219
2035,139
2036,234
2037,222
2038,230
2039,248
2040,201
2041,179
2042,209
2043,212
2044,199
2045,195
2046,191
2047,230
2048,188
2049,207
2050,177
2051,182
2052,180
2053,215
2054,201
2055,169
2056,147
2057,158
2058,223
2059,211
2060,168
2061,216
2062,216
2063,198
2064,196
2065,239
2066,253
2067,242
2068,227
2069,216
2070,212
2071,222
2072,189
2073,135
2074,200
2075,209
2076,192
2077,224
2078,228
2079,208
2080,261
2081,226
2082,216
2083,194
2084,211
2085,211
2086,242
2087,226
2088,209
2089,228
2090,131
2092,204
2093,213
2094,261
2095,207
2096,246
2097,245
2098,217
2099,242
2100,206
