"year","predicted"
2007,123
2008,115
2009,126
2010,115
2011,114
2012,111
2013,110
2014,110
2015,136
2016,112
2017,111
2018,108
2019,117
2020,114
2021,120
2022,107
2023,115
2024,105
2025,104
2026,111
2027,123
2028,120
2029,108
2030,106
2031,105
2032,149
2033,109
2034,106
2035,106
2036,115
2037,107
2038,108
2039,106
2040,108
2041,116
2042,110
2043,111
2044,110
2045,112
2046,112
2047,120
2048,106
2049,104
2050,122
2051,108
2052,105
2053,108
2054,110
2055,115
2056,106
2057,113
2058,114
2059,110
2060,113
2061,106
2062,116
2063,110
2064,105
2065,114
2066,109
2067,113
2068,111
2069,111
2070,106
2071,107
2072,115
2073,106
2074,117
2075,107
2076,110
2077,114
2078,106
2079,105
2080,110
2081,105
2082,115
2083,106
2084,105
2085,105
2086,104
2087,108
2088,109
2089,110
2090,105
2091,107
2092,116
2093,107
2094,113
2095,104
2096,103
2097,104
2098,112
2099,105
2100,109
