"year","predicted"
2007,144
2008,143
2009,131
2010,132
2011,143
2012,138
2013,139
2014,131
2015,140
2016,135
2017,138
2018,140
2019,141
2020,135
2021,141
2022,140
2023,135
2024,142
2025,141
2026,137
2027,138
2028,141
2029,129
2030,134
2031,143
2032,150
2033,141
2034,140
2035,137
2036,131
2037,134
2038,143
2039,142
2040,132
2041,132
2042,141
2043,132
2044,135
2045,138
2046,127
2047,132
2048,138
2049,132
2050,132
2051,134
2052,138
2053,134
2054,137
2055,138
2056,130
2057,132
2058,128
2059,126
2060,134
2061,138
2062,137
2063,135
2064,129
2065,128
2066,134
2067,134
2068,135
2069,137
2070,136
2071,133
2072,132
2073,130
2074,137
2075,134
2076,132
2077,135
2078,134
2079,130
2080,133
2081,125
2082,130
2083,137
2084,142
2085,139
2086,121
2087,135
2088,133
2089,129
2090,134
2091,129
2092,130
2093,133
2094,134
2095,138
2096,125
2097,126
2098,138
2099,131
2100,128
