"year","predicted"
2007,61
2008,51
2009,65
2010,47
2011,58
2012,75
2013,107
2014,53
2015,80
2016,45
2017,63
2018,90
2019,39
2020,48
2021,73
2022,46
2023,59
2024,64
2025,45
2026,75
2027,52
2028,66
2029,57
2030,92
2031,58
2032,54
2033,68
2034,72
2035,57
2036,57
2037,69
2038,82
2039,86
2040,43
2041,57
2042,43
2043,73
2044,59
2045,63
2046,53
2047,63
2048,42
2049,80
2050,33
2051,65
2052,60
2053,51
2054,47
2055,56
2056,35
2057,59
2058,26
2059,74
2060,63
2061,51
2062,58
2063,57
2064,41
2065,58
2066,90
2067,49
2068,55
2069,68
2070,68
2071,85
2072,64
2073,77
2074,61
2075,60
2076,61
2077,57
2078,51
2079,43
2080,47
2081,50
2082,62
2083,63
2084,44
2085,66
2086,69
2087,62
2088,45
2089,60
2090,54
2091,35
2092,43
2093,32
2094,40
2095,81
2096,57
2097,60
2098,78
2099,65
2100,85
