"year","predicted"
2007,212
2008,139
2009,179
2010,219
2011,176
2012,172
2013,257
2014,226
2015,175
2016,218
2018,223
2019,226
2020,192
2021,188
2022,183
2023,159
2024,215
2025,227
2026,218
2027,155
2028,214
2029,216
2030,245
2031,213
2032,223
2033,257
2034,222
2035,224
2036,179
2037,238
2038,244
2039,221
2040,241
2041,172
2042,197
2043,231
2044,239
2045,208
2046,221
2047,221
2048,190
2049,206
2050,228
2051,221
2052,219
2053,190
2054,222
2055,229
2056,136
2057,206
2058,244
2059,188
2060,197
2061,228
2062,216
2063,162
2064,182
2065,236
2066,209
2067,244
2068,181
2069,219
2070,191
2071,216
2072,194
2073,180
2074,244
2075,209
2076,175
2077,217
2078,185
2080,257
2081,251
2082,232
2083,185
2084,217
2085,174
2086,217
2087,259
2088,207
2089,192
2090,169
2091,249
2092,201
2093,171
2094,247
2095,256
2096,244
2097,211
2098,191
2099,204
2100,217
