"year","predicted"
2007,105
2008,124
2009,114
2010,115
2011,121
2012,110
2013,106
2014,144
2015,116
2016,112
2017,104
2018,107
2019,113
2020,113
2021,113
2022,106
2023,105
2024,108
2025,104
2026,109
2027,105
2028,111
2029,114
2030,114
2031,108
2032,114
2033,108
2034,106
2035,115
2036,117
2037,117
2038,106
2039,104
2040,104
2041,121
2042,116
2043,110
2044,119
2045,110
2046,125
2047,106
2048,105
2049,141
2050,116
2051,114
2052,115
2053,109
2054,112
2055,109
2056,105
2057,111
2058,105
2059,108
2060,108
2061,108
2062,110
2063,120
2064,113
2065,112
2066,108
2067,109
2068,110
2069,103
2070,103
2071,113
2072,102
2073,105
2074,116
2075,108
2076,106
2077,113
2078,111
2079,107
2080,103
2081,106
2082,107
2083,106
2084,107
2085,106
2086,107
2087,124
2088,114
2089,109
2090,113
2091,106
2092,115
2093,115
2094,114
2095,104
2096,108
2097,104
2098,116
2099,108
2100,115
