"year","predicted"
2007,141
2008,139
2009,139
2010,133
2011,143
2012,134
2013,139
2014,133
2015,134
2016,134
2017,137
2018,130
2019,135
2020,144
2021,135
2022,135
2023,132
2024,133
2025,135
2026,137
2027,130
2028,129
2029,132
2030,127
2031,128
2032,132
2033,134
2034,132
2035,135
2036,135
2037,127
2038,134
2039,131
2040,126
2041,126
2042,131
2043,131
2044,135
2045,132
2046,131
2047,133
2048,130
2049,129
2050,135
2051,132
2052,133
2053,134
2054,131
2055,137
2056,129
2057,122
2058,129
2059,123
2060,125
2061,131
2062,128
2063,134
2064,122
2065,127
2066,132
2067,128
2068,124
2069,129
2070,121
2071,126
2072,135
2073,131
2074,133
2075,128
2076,123
2077,124
2078,131
2079,130
2080,136
2081,134
2082,130
2083,133
2084,134
2085,126
2086,132
2087,130
2088,128
2089,129
2090,128
2091,122
2092,128
2093,128
2094,123
2095,131
2096,131
2097,121
2098,131
2099,127
2100,129
