"year","predicted"
2007,57
2008,71
2009,56
2010,38
2011,73
2012,75
2013,63
2014,60
2015,75
2016,58
2017,74
2018,54
2019,53
2020,59
2021,60
2022,63
2023,61
2024,57
2025,67
2026,49
2027,64
2028,69
2029,68
2030,97
2031,74
2032,51
2033,62
2034,73
2035,40
2036,51
2037,67
2038,77
2039,71
2040,58
2041,72
2042,45
2043,83
2044,68
2045,63
2046,56
2047,64
2048,71
2049,75
2050,55
2051,43
2052,58
2053,62
2054,37
2055,45
2056,58
2057,45
2058,52
2059,72
2060,59
2061,39
2062,64
2063,73
2064,33
2065,81
2066,75
2067,49
2068,54
2069,71
2070,68
2071,85
2072,62
2073,75
2074,64
2075,59
2076,77
2077,64
2078,51
2079,43
2080,47
2081,55
2082,58
2083,58
2084,43
2085,66
2086,33
2087,84
2088,50
2089,39
2090,68
2091,81
2092,53
2093,46
2094,49
2095,43
2096,49
2097,37
2098,86
2099,66
2100,80
