"year","predicted"
2007,226
2008,239
2009,199
2010,226
2011,218
2012,230
2013,210
2014,186
2015,194
2016,189
2017,207
2018,218
2019,161
2020,246
2021,210
2022,221
2023,261
2024,195
2025,180
2026,189
2027,228
2028,230
2029,211
2030,144
2031,220
2032,238
2033,200
2034,221
2035,242
2036,121
2037,221
2038,237
2039,207
2040,228
2041,221
2042,237
2043,203
2044,213
2045,179
2046,185
2047,150
2048,203
2049,197
2050,179
2051,201
2052,225
2053,185
2054,213
2055,189
2056,253
2057,195
2058,234
2059,199
2060,174
2061,194
2062,206
2063,217
2064,184
2065,235
2066,177
2067,181
2068,210
2069,180
2070,226
2071,232
2072,159
2073,255
2074,192
2075,252
2076,225
2077,182
2078,172
2079,207
2080,231
2081,217
2082,221
2083,207
2084,180
2085,240
2086,196
2087,220
2088,216
2089,212
2090,181
2091,207
2093,248
2094,209
2095,214
2096,187
2097,234
2098,188
2099,169
2100,225
