"year","predicted"
2007,105
2008,118
2009,107
2010,121
2011,114
2012,121
2013,134
2014,105
2015,116
2016,106
2017,116
2018,115
2019,113
2020,111
2021,106
2022,121
2023,105
2024,105
2025,105
2026,118
2027,135
2028,119
2029,114
2030,126
2031,119
2032,117
2033,124
2034,117
2035,109
2036,118
2037,106
2038,113
2039,132
2040,106
2041,114
2042,107
2043,106
2044,116
2045,115
2046,119
2047,110
2048,109
2049,106
2050,111
2051,120
2052,104
2053,104
2054,105
2055,104
2056,105
2057,105
2058,110
2059,109
2060,105
2061,122
2062,107
2063,119
2064,106
2065,109
2066,110
2067,110
2068,109
2069,103
2070,110
2071,105
2072,112
2073,108
2074,110
2075,107
2076,119
2077,108
2078,108
2079,108
2080,127
2081,112
2082,106
2083,125
2084,143
2085,105
2086,108
2087,112
2088,106
2089,106
2090,110
2091,110
2092,104
2093,103
2094,105
2095,107
2096,104
2097,125
2098,124
2099,117
2100,104
