"year","predicted"
2007,141
2008,132
2009,133
2010,141
2011,132
2012,133
2013,141
2014,137
2015,144
2016,141
2017,143
2018,140
2019,137
2020,138
2021,133
2022,139
2023,141
2024,139
2025,134
2026,136
2027,136
2028,136
2029,138
2030,143
2031,142
2032,146
2033,141
2034,136
2035,132
2036,141
2037,131
2038,127
2039,130
2040,139
2041,127
2042,130
2043,131
2044,134
2045,135
2046,135
2047,138
2048,139
2049,123
2050,134
2051,136
2052,140
2053,128
2054,139
2055,143
2056,131
2057,138
2058,132
2059,126
2060,129
2061,136
2062,126
2063,130
2064,131
2065,135
2066,134
2067,134
2068,124
2069,134
2070,133
2071,138
2072,134
2073,135
2074,125
2075,131
2076,126
2077,124
2078,133
2079,128
2080,127
2081,123
2082,131
2083,139
2084,128
2085,125
2086,137
2087,123
2088,125
2089,128
2090,134
2091,131
2092,133
2093,124
2094,126
2095,129
2096,131
2097,130
2098,128
2099,122
2100,126
