"year","predicted"
2007,72
2008,59
2009,76
2010,64
2011,74
2012,87
2013,63
2014,67
2015,56
2016,84
2017,57
2018,64
2019,62
2020,71
2021,62
2022,52
2023,55
2024,70
2025,73
2026,51
2027,56
2028,49
2029,46
2030,86
2031,41
2032,70
2033,85
2034,81
2035,69
2036,76
2037,44
2038,81
2039,72
2040,72
2041,70
2042,60
2043,65
2044,38
2045,53
2046,55
2047,52
2048,49
2049,59
2050,53
2051,50
2052,63
2053,62
2054,71
2055,65
2056,51
2057,61
2058,47
2059,65
2060,70
2061,71
2062,43
2063,72
2064,86
2065,95
2066,45
2067,49
2068,26
2069,70
2070,52
2071,64
2072,44
2073,71
2074,52
2075,44
2076,44
2077,68
2078,79
2079,31
2080,73
2081,66
2082,73
2083,61
2084,55
2085,72
2086,49
2087,56
2088,67
2089,61
2090,73
2091,89
2092,56
2093,42
2094,81
2095,80
2096,32
2097,74
2098,26
2099,83
2100,42
