model,site,year,predicted
CanESM2.CanRCM4,ibp,2007,178
CanESM2.CanRCM4,ibp,2008,196
CanESM2.CanRCM4,ibp,2009,215
CanESM2.CanRCM4,ibp,2010,233
CanESM2.CanRCM4,ibp,2011,228
CanESM2.CanRCM4,ibp,2012,185
CanESM2.CanRCM4,ibp,2013,201
CanESM2.CanRCM4,ibp,2014,224
CanESM2.CanRCM4,ibp,2015,260
CanESM2.CanRCM4,ibp,2016,194
CanESM2.CanRCM4,ibp,2017,242
CanESM2.CanRCM4,ibp,2018,203
CanESM2.CanRCM4,ibp,2019,216
CanESM2.CanRCM4,ibp,2020,237
CanESM2.CanRCM4,ibp,2021,201
CanESM2.CanRCM4,ibp,2022,184
CanESM2.CanRCM4,ibp,2023,99
CanESM2.CanRCM4,ibp,2024,237
CanESM2.CanRCM4,ibp,2025,188
CanESM2.CanRCM4,ibp,2026,206
CanESM2.CanRCM4,ibp,2027,236
CanESM2.CanRCM4,ibp,2028,235
CanESM2.CanRCM4,ibp,2030,240
CanESM2.CanRCM4,ibp,2031,118
CanESM2.CanRCM4,ibp,2032,223
CanESM2.CanRCM4,ibp,2033,148
CanESM2.CanRCM4,ibp,2035,198
CanESM2.CanRCM4,ibp,2036,213
CanESM2.CanRCM4,ibp,2038,174
CanESM2.CanRCM4,ibp,2039,201
CanESM2.CanRCM4,ibp,2040,217
CanESM2.CanRCM4,ibp,2041,161
CanESM2.CanRCM4,ibp,2042,114
CanESM2.CanRCM4,ibp,2043,157
CanESM2.CanRCM4,ibp,2044,208
CanESM2.CanRCM4,ibp,2045,234
CanESM2.CanRCM4,ibp,2046,241
CanESM2.CanRCM4,ibp,2047,211
CanESM2.CanRCM4,ibp,2048,219
CanESM2.CanRCM4,ibp,2049,149
CanESM2.CanRCM4,ibp,2050,229
CanESM2.CanRCM4,ibp,2051,173
CanESM2.CanRCM4,ibp,2052,224
CanESM2.CanRCM4,ibp,2053,228
CanESM2.CanRCM4,ibp,2055,212
CanESM2.CanRCM4,ibp,2056,212
CanESM2.CanRCM4,ibp,2057,196
CanESM2.CanRCM4,ibp,2058,209
CanESM2.CanRCM4,ibp,2059,207
CanESM2.CanRCM4,ibp,2060,184
CanESM2.CanRCM4,ibp,2061,206
CanESM2.CanRCM4,ibp,2062,149
CanESM2.CanRCM4,ibp,2063,223
CanESM2.CanRCM4,ibp,2064,212
CanESM2.CanRCM4,ibp,2066,211
CanESM2.CanRCM4,ibp,2067,109
CanESM2.CanRCM4,ibp,2068,199
CanESM2.CanRCM4,ibp,2069,201
CanESM2.CanRCM4,ibp,2071,235
CanESM2.CanRCM4,ibp,2072,204
CanESM2.CanRCM4,ibp,2073,239
CanESM2.CanRCM4,ibp,2075,221
CanESM2.CanRCM4,ibp,2076,200
CanESM2.CanRCM4,ibp,2077,200
CanESM2.CanRCM4,ibp,2078,208
CanESM2.CanRCM4,ibp,2079,216
CanESM2.CanRCM4,ibp,2080,179
CanESM2.CanRCM4,ibp,2081,125
CanESM2.CanRCM4,ibp,2082,226
CanESM2.CanRCM4,ibp,2083,233
CanESM2.CanRCM4,ibp,2085,196
CanESM2.CanRCM4,ibp,2086,193
CanESM2.CanRCM4,ibp,2087,228
CanESM2.CanRCM4,ibp,2088,248
CanESM2.CanRCM4,ibp,2089,201
CanESM2.CanRCM4,ibp,2090,180
CanESM2.CanRCM4,ibp,2091,205
CanESM2.CanRCM4,ibp,2092,168
CanESM2.CanRCM4,ibp,2093,226
CanESM2.CanRCM4,ibp,2094,205
CanESM2.CanRCM4,ibp,2095,220
CanESM2.CanRCM4,ibp,2096,221
CanESM2.CanRCM4,ibp,2097,257
CanESM2.CanRCM4,ibp,2098,191
CanESM2.CanRCM4,ibp,2099,175
CanESM2.CanRCM4,ibp,2100,174
CanESM2.CanRCM4,kansas,2007,107
CanESM2.CanRCM4,kansas,2008,107
CanESM2.CanRCM4,kansas,2009,116
CanESM2.CanRCM4,kansas,2010,116
CanESM2.CanRCM4,kansas,2011,109
CanESM2.CanRCM4,kansas,2012,116
CanESM2.CanRCM4,kansas,2013,123
CanESM2.CanRCM4,kansas,2014,112
CanESM2.CanRCM4,kansas,2015,116
CanESM2.CanRCM4,kansas,2016,116
CanESM2.CanRCM4,kansas,2017,120
CanESM2.CanRCM4,kansas,2018,115
CanESM2.CanRCM4,kansas,2019,103
CanESM2.CanRCM4,kansas,2020,110
CanESM2.CanRCM4,kansas,2021,111
CanESM2.CanRCM4,kansas,2022,111
CanESM2.CanRCM4,kansas,2023,110
CanESM2.CanRCM4,kansas,2024,106
CanESM2.CanRCM4,kansas,2025,110
CanESM2.CanRCM4,kansas,2026,103
CanESM2.CanRCM4,kansas,2027,110
CanESM2.CanRCM4,kansas,2028,106
CanESM2.CanRCM4,kansas,2029,106
CanESM2.CanRCM4,kansas,2030,113
CanESM2.CanRCM4,kansas,2031,104
CanESM2.CanRCM4,kansas,2032,117
CanESM2.CanRCM4,kansas,2033,110
CanESM2.CanRCM4,kansas,2034,110
CanESM2.CanRCM4,kansas,2035,112
CanESM2.CanRCM4,kansas,2036,109
CanESM2.CanRCM4,kansas,2037,106
CanESM2.CanRCM4,kansas,2038,108
CanESM2.CanRCM4,kansas,2039,114
CanESM2.CanRCM4,kansas,2040,138
CanESM2.CanRCM4,kansas,2041,107
CanESM2.CanRCM4,kansas,2042,107
CanESM2.CanRCM4,kansas,2043,112
CanESM2.CanRCM4,kansas,2044,105
CanESM2.CanRCM4,kansas,2045,110
CanESM2.CanRCM4,kansas,2046,106
CanESM2.CanRCM4,kansas,2047,108
CanESM2.CanRCM4,kansas,2048,110
CanESM2.CanRCM4,kansas,2049,140
CanESM2.CanRCM4,kansas,2050,105
CanESM2.CanRCM4,kansas,2051,106
CanESM2.CanRCM4,kansas,2052,112
CanESM2.CanRCM4,kansas,2053,121
CanESM2.CanRCM4,kansas,2054,114
CanESM2.CanRCM4,kansas,2055,108
CanESM2.CanRCM4,kansas,2056,109
CanESM2.CanRCM4,kansas,2057,120
CanESM2.CanRCM4,kansas,2058,105
CanESM2.CanRCM4,kansas,2059,104
CanESM2.CanRCM4,kansas,2060,114
CanESM2.CanRCM4,kansas,2061,115
CanESM2.CanRCM4,kansas,2062,105
CanESM2.CanRCM4,kansas,2063,105
CanESM2.CanRCM4,kansas,2064,104
CanESM2.CanRCM4,kansas,2065,134
CanESM2.CanRCM4,kansas,2066,121
CanESM2.CanRCM4,kansas,2067,104
CanESM2.CanRCM4,kansas,2068,109
CanESM2.CanRCM4,kansas,2069,111
CanESM2.CanRCM4,kansas,2070,112
CanESM2.CanRCM4,kansas,2071,108
CanESM2.CanRCM4,kansas,2072,117
CanESM2.CanRCM4,kansas,2073,104
CanESM2.CanRCM4,kansas,2074,104
CanESM2.CanRCM4,kansas,2075,109
CanESM2.CanRCM4,kansas,2076,107
CanESM2.CanRCM4,kansas,2077,108
CanESM2.CanRCM4,kansas,2078,113
CanESM2.CanRCM4,kansas,2079,108
CanESM2.CanRCM4,kansas,2080,114
CanESM2.CanRCM4,kansas,2081,108
CanESM2.CanRCM4,kansas,2082,106
CanESM2.CanRCM4,kansas,2083,112
CanESM2.CanRCM4,kansas,2084,109
CanESM2.CanRCM4,kansas,2085,104
CanESM2.CanRCM4,kansas,2086,123
CanESM2.CanRCM4,kansas,2087,105
CanESM2.CanRCM4,kansas,2088,110
CanESM2.CanRCM4,kansas,2089,104
CanESM2.CanRCM4,kansas,2090,125
CanESM2.CanRCM4,kansas,2091,104
CanESM2.CanRCM4,kansas,2092,118
CanESM2.CanRCM4,kansas,2093,105
CanESM2.CanRCM4,kansas,2094,103
CanESM2.CanRCM4,kansas,2095,110
CanESM2.CanRCM4,kansas,2096,110
CanESM2.CanRCM4,kansas,2097,104
CanESM2.CanRCM4,kansas,2098,106
CanESM2.CanRCM4,kansas,2099,115
CanESM2.CanRCM4,kansas,2100,105
CanESM2.CanRCM4,oakville,2007,136
CanESM2.CanRCM4,oakville,2008,140
CanESM2.CanRCM4,oakville,2009,140
CanESM2.CanRCM4,oakville,2010,133
CanESM2.CanRCM4,oakville,2011,131
CanESM2.CanRCM4,oakville,2012,141
CanESM2.CanRCM4,oakville,2013,140
CanESM2.CanRCM4,oakville,2014,136
CanESM2.CanRCM4,oakville,2015,139
CanESM2.CanRCM4,oakville,2016,134
CanESM2.CanRCM4,oakville,2017,147
CanESM2.CanRCM4,oakville,2018,142
CanESM2.CanRCM4,oakville,2019,127
CanESM2.CanRCM4,oakville,2020,134
CanESM2.CanRCM4,oakville,2021,139
CanESM2.CanRCM4,oakville,2022,135
CanESM2.CanRCM4,oakville,2023,136
CanESM2.CanRCM4,oakville,2024,133
CanESM2.CanRCM4,oakville,2025,140
CanESM2.CanRCM4,oakville,2026,137
CanESM2.CanRCM4,oakville,2027,136
CanESM2.CanRCM4,oakville,2028,135
CanESM2.CanRCM4,oakville,2029,137
CanESM2.CanRCM4,oakville,2030,139
CanESM2.CanRCM4,oakville,2031,138
CanESM2.CanRCM4,oakville,2032,144
CanESM2.CanRCM4,oakville,2033,133
CanESM2.CanRCM4,oakville,2034,132
CanESM2.CanRCM4,oakville,2035,138
CanESM2.CanRCM4,oakville,2036,141
CanESM2.CanRCM4,oakville,2037,147
CanESM2.CanRCM4,oakville,2038,134
CanESM2.CanRCM4,oakville,2039,137
CanESM2.CanRCM4,oakville,2040,130
CanESM2.CanRCM4,oakville,2041,131
CanESM2.CanRCM4,oakville,2042,133
CanESM2.CanRCM4,oakville,2043,140
CanESM2.CanRCM4,oakville,2044,135
CanESM2.CanRCM4,oakville,2045,137
