"year","predicted"
2007,152
2008,186
2009,205
2010,194
2011,111
2012,198
2013,103
2014,210
2015,217
2017,242
2018,156
2019,229
2020,151
2021,217
2022,211
2023,208
2024,113
2025,191
2026,197
2027,221
2028,193
2029,198
2030,237
2031,217
2032,224
2033,69
2034,202
2035,239
2036,198
2037,236
2038,129
2039,201
2040,226
2041,221
2042,243
2043,199
2044,218
2045,261
2046,239
2047,240
2048,215
2049,241
2050,188
2051,205
2052,189
2053,202
2054,227
2055,199
2056,181
2057,240
2058,247
2059,189
2060,221
2061,208
2062,183
2063,193
2064,237
2066,225
2067,199
2068,178
2069,194
2070,228
2071,251
2072,181
2073,202
2074,243
2075,220
2076,189
2077,209
2078,190
2079,193
2080,202
2081,219
2082,222
2083,186
2084,181
2085,174
2086,233
2087,241
2088,209
2089,169
2090,228
2091,216
2092,179
2093,92
2094,227
2095,227
2097,215
2098,216
2099,175
2100,176
