"year","predicted"
2007,138
2008,136
2009,140
2010,137
2011,137
2012,128
2013,132
2014,140
2015,140
2016,139
2017,141
2018,129
2019,146
2020,132
2021,138
2022,137
2023,134
2024,142
2025,128
2026,138
2027,128
2028,139
2029,133
2030,133
2031,134
2032,129
2033,125
2034,139
2035,126
2036,137
2037,133
2038,134
2039,129
2040,136
2041,133
2042,128
2043,134
2044,122
2045,134
2046,131
2047,132
2048,130
2049,134
2050,132
2051,127
2052,127
2053,128
2054,132
2055,129
2056,127
2057,129
2058,131
2059,130
2060,130
2061,138
2062,133
2063,126
2064,128
2065,131
2066,126
2067,127
2068,127
2069,137
2070,123
2071,130
2072,132
2073,128
2074,130
2075,122
2076,136
2077,128
2078,140
2079,122
2080,124
2081,129
2082,128
2083,127
2084,127
2085,132
2086,126
2087,128
2088,129
2089,128
2090,130
2091,132
2092,126
2093,136
2094,129
2095,124
2096,123
2097,129
2098,127
2099,122
2100,129
