"","Run","model","AIC","RMSE"
"1","output_run_25","SQWs_Tmin",203.702790897448,7.86157413156468
"2","output_run_22","SQWs_cdd_Tmin",211.630347607806,8.38476879979925
"3","output_run_7","SQW_cdd_Tmin",214.070527335792,8.99275070361629
"4","output_run_11","SQWs",215.614745288107,9.14496772999275
"5","output_run_5","SQWs_cdd",217.20638751495,9.10446617588456
"6","output_run_10","SQW_Tmin",222.856466330974,10.1113367283848
"7","output_run_12","SQWs_Pi_Tmin",227.275137863304,10.1574560320721
"8","output_run_13","PA",233.220359108127,10.3745088935626
"9","output_run_15","SQW_cdd",235.761005907573,11.6339084613451
"10","output_run_14","PAb",235.944008325384,10.6862365767333
"11","output_run_2","SQW_Pi_Tmin",239.088099984131,12.0623380818148
"12","output_run_19","SQW_NoPbase",239.628335625157,12.400035063064
"13","output_run_12","SQW",241.628335625157,12.400035063064
"14","output_run_11","SQWrs",246.673055752455,12.8172777412231
"15","output_run_20","PAW",278.163524830037,18.0488467655199
"16","output_run_19","PAWs",279.539220702952,17.926783459879
"17","output_run_20","PWTs",285.780232632891,20.4779839360948
"18","output_run_3","WTs",287.61510054699,20.8905012739824
"19","output_run_4","M1Ws",288.00147268391,20.527288306481
"20","output_run_24","SQWr",291.81414322467,21.3958549419193
"21","output_run_2","UM1",293.708637287699,20.4620539578487
"22","output_run_1","LIN",311.505970348647,28.2885237002119
"23","output_run_15","M1s",319.515720014095,28.9132886553841
"24","output_run_12","SM1",320.868734412951,27.4891282857977
"25","output_run_10","SM1b",320.883289072145,27.4934774873574
"26","output_run_23","GRP",323.440424350787,30.1734118489888
"27","output_run_25","AGSI",323.665002938649,28.9602426124836
"28","output_run_11","PTTs",326.251077136299,31.7931493851441
"29","output_run_10","TT",326.707073609504,32.6533172960234
"30","output_run_14","PTT",326.734263973411,32.6629693264007
"31","output_run_1","M1",328.447488795009,32.5613134015626
"32","output_run_25","PWT",328.456291812146,33.2801024245915
"33","output_run_1","WT",328.456291812146,33.2801024245915
"34","output_run_12","TTs",328.667665945852,32.6393334330915
"35","output_run_5","M1W",330.437327394699,33.2732429386162
"36","output_run_10","AT",330.746447541964,32.6672951728949
"37","output_run_5","SGSI",333.632954553283,32.2742999115799
"38","output_run_1","PM1",336.693003319118,32.6483237468367
"39","output_run_17","PM1b",336.693003319118,32.6483237468367
"40","output_run_1","SQ",336.707073609504,32.6533172960234
"41","output_run_11","SQb",336.707073609504,32.6533172960234
