"","SQWs_Tmin","SQWs_cdd_Tmin","SQW_cdd_Tmin","SQWs","SQWs_cdd","SQW_Tmin","SQWs_Pi_Tmin","PA","SQW_cdd","PAb","SQW_Pi_Tmin","SQW_NoPbase","SQW","SQWrs","PAW","PAWs","PWTs","WTs","M1Ws","SQWr","UM1","LIN","M1s","SM1","SM1b","GRP","AGSI","PTTs","TT","PTT","M1","PWT","WT","TTs","M1W","AT","SGSI","PM1","PM1b","SQ","SQb"
"butte_2009",4,2,1,8,9,1,-12,4,3,5,6,4,4,-2,-9,-1,9,11,10,3,13,3.44033218590843,-5,-16,-18,-6,-25,-11,-9,-9,-10,3,3,-9,3,-9,-5,-9,-9,-9,-9
"butte_2010",2,1,0,-2,-2,-5,2,2,-12,2,-8,-11,-11,11,-15,-7,11,11,11,17,7,5.38093200628973,-1,-12,-13,-4,9,-6,-6,-7,-7,10,10,-6,10,-7,6,-6,-6,-6,-6
"butte_2012",15,1,0,20,36,8,31,31,18,30,21,30,30,27,15,23,24,24,24,24,31,14.4954910905116,15,10,10,2,-21,10,8,7,7,24,24,5,24,7,-15,8,8,8,8
"butte_2013",-2,5,-8,-5,-4,-13,-3,6,-11,8,-7,-15,-15,3,-21,-12,6,6,7,13,15,2.50437873813871,-5,-11,-12,-17,2,-9,-8,-8,-9,8,8,-8,8,-8,-11,-8,-8,-8,-8
"butte_2014",10,5,4,12,12,13,8,10,11,10,9,12,12,-12,12,17,25,31,25,26,15,0.997590465173744,-1,-9,-9,-2,-26,-6,-8,-8,-9,4,4,-8,4,-8,-14,-8,-8,-8,-8
"butte_2015",-4,1,-3,-2,1,-14,-10,-2,-12,-1,-10,-15,-15,-1,-21,-17,0,-1,0,12,6,-10.713454746664,-9,-13,-13,-23,17,-15,-17,-17,-18,-1,-1,-17,-1,-17,26,-17,-17,-17,-17
"butte_2016",0,-18,-19,0,0,-14,0,-11,-25,-11,-21,-23,-23,-16,-32,-18,-12,-9,-12,-1,-18,-28.375404164567,-27,-31,-32,-31,-38,-33,-35,-35,-36,-19,-19,-35,-19,-35,22,-35,-35,-35,-35
"butte_2017",-11,-10,-11,0,0,-1,-1,-9,-8,-6,-6,-10,-10,1,-15,-7,9,11,9,26,-1,-17.2805272626348,-16,-18,-19,-20,-31,-21,-23,-24,-24,-11,-11,-23,-10,-24,-16,-23,-23,-23,-23
"butte_2018",1,2,0,-2,-2,-2,-8,-8,-5,-8,-4,-9,-9,0,-15,-6,7,10,7,-1,-5,-19.47991177322,-20,-28,-28,-21,-31,-26,-28,-28,-29,-12,-12,-28,-12,-28,3,-28,-28,-28,-28
"butte_2019",-5,0,-2,-3,-4,-12,-12,-6,-5,-6,-11,-6,-6,-5,-11,-4,8,10,9,-1,-2,-6.21292654157173,-16,-28,-27,-16,-33,-23,-21,-21,-21,-5,-5,-21,-5,-21,-2,-21,-21,-21,-21
"butte_2020",-5,3,-10,0,0,-9,6,-4,-11,-4,-11,-12,-12,-13,-29,-11,6,6,6,4,4,-7.71682314147975,-14,-23,-24,-16,4,-17,-19,-19,-19,-13,-13,-19,-13,-19,-23,-19,-19,-19,-19
"cperuvb_2016",-2,3,1,-5,-5,12,-2,4,-4,2,-5,5,5,-8,-11,-17,-11,-14,-11,22,-3,-25.3937546601823,-25,-14,-16,-23,-26,-26,-26,-26,-26,-11,-11,-26,-11,-26,-6,-26,-26,-26,-26
"cperuvb_2017",6,4,3,2,2,-4,-4,1,1,6,4,-8,-8,1,-13,-13,-10,-11,-10,27,-4,-29.5360711350967,-26,-9,-10,-25,-16,-27,-26,-26,-27,-10,-10,-26,-10,-26,2,-26,-26,-26,-26
"cperuvb_2018",5,3,1,-2,0,-5,-13,2,-4,1,-3,-6,-6,0,-12,-16,-20,-22,-19,12,-7,-32.438063077212,-29,-15,-16,-34,-18,-30,-30,-30,-30,-14,-14,-30,-14,-30,6,-30,-30,-30,-30
"cperuvb_2019",8,-1,-2,2,2,17,-1,20,28,18,21,25,25,14,10,4,2,0,2,16,9,-5.90952681534426,-12,-4,-5,-1,-8,-11,-11,-11,-12,5,5,-11,5,-11,10,-11,-11,-11,-11
"gatesofthemountains_2002",1,-2,-3,1,1,-5,-4,-3,-1,-2,2,-3,-3,-1,6,3,18,17,18,14,24,36.775535864672,2,-19,-19,13,-9,-5,8,8,8,20,20,2,20,8,8,8,8,8,8
"gatesofthemountains_2003",6,13,11,2,5,-5,6,1,4,1,4,3,3,20,16,9,22,21,23,6,22,19.500379190051,2,-16,-16,7,-4,-5,1,0,0,15,15,1,15,0,16,1,1,1,1
"gatesofthemountains_2005",-4,-6,-8,-6,-4,4,-3,-2,-3,-1,-1,-2,-2,17,11,4,17,16,18,39,3,23.6833805330318,6,-15,-16,7,-8,-2,4,3,4,17,17,3,17,3,7,4,4,4,4
"gatesofthemountains_2006",-11,9,7,-20,-20,-5,-24,-2,-1,-2,3,-2,-2,-27,5,-9,-9,-14,-9,6,12,5.0126419461038,-6,-24,-25,-4,-13,-13,-11,-11,-11,5,5,-12,5,-11,11,-11,-11,-11,-11
"gatesofthemountains_2008",2,-3,-4,-1,0,2,-2,-3,-2,-1,-7,-4,-4,10,3,1,19,17,19,29,5,31.9316370259081,6,-16,-17,14,-13,2,8,6,7,23,23,0,23,7,6,7,7,8,8
"gatesofthemountains_2012",3,-6,-7,11,11,-1,-5,7,9,7,12,9,9,4,26,10,15,19,16,22,26,18.2990698771462,9,-8,-8,-2,-6,3,3,3,3,20,20,-2,20,3,7,3,3,3,3
"gatesofthemountains_2013",6,0,-2,1,1,8,-2,0,1,3,5,0,0,22,6,2,19,18,19,25,11,22.8056902913785,5,-14,-15,-2,-12,0,3,3,3,20,20,2,20,3,11,3,3,3,3
"gatesofthemountains_2014",2,10,9,2,2,-5,-14,-4,0,0,3,-1,-1,-8,15,13,29,39,30,-3,21,17.5346629859512,1,-20,-20,4,-15,-3,-2,-3,-3,15,15,-1,15,-3,-3,-2,-2,-2,-2
"gatesofthemountains_2015",-3,2,1,-4,-3,6,-5,-4,-4,-5,-6,-6,-6,7,-5,-5,8,7,8,22,6,7.93455555340435,-3,-17,-17,-13,-18,-9,-7,-8,-8,9,9,-7,9,-8,8,-7,-7,-7,-7
