"","Run","model","AIC","RMSE"
"1","output_run_15","GRP",142.003719068443,7.86606636127614
"2","output_run_25","SQW_cdd_Tmin",142.294212281177,7.6587368410202
"3","output_run_21","SQW_cdd",144.758439776587,8.21203385282842
"4","output_run_14","SQW_Pi_Tmin",145.607140642158,8.32165848854662
"5","output_run_6","SQWs_Pi_Tmin",146.911920429667,7.97848669861647
"6","output_run_15","SQW_NoPbase",147.208893963498,8.8034084308295
"7","output_run_11","SQWs_cdd",147.457078418549,8.04673846971554
"8","output_run_13","SM1b",147.971379500254,7.86209259675819
"9","output_run_23","SQW_Tmin",148.97578892623,8.77140239642442
"10","output_run_14","SQWs_cdd_Tmin",149.131099368725,8.00585723080296
"11","output_run_17","SQW",149.208893963498,8.8034084308295
"12","output_run_2","SQWs_Tmin",150.165419172386,8.39456669519041
"13","output_run_18","PAW",150.662317031728,8.72854512504805
"14","output_run_9","PA",151.240128435017,8.01950746617272
"15","output_run_7","SQWs",151.491513223268,8.8423695919137
"16","output_run_3","PAb",152.624703802969,8.19489170154188
"17","output_run_2","SM1",152.894955371969,8.49080384887085
"18","output_run_12","PAWs",153.733600780422,8.87588023803837
"19","output_run_4","SQWrs",153.916822726985,9.18388534336095
"20","output_run_1","PWT",156.442632817328,10.4925568857167
"21","output_run_1","WT",156.442632817328,10.4925568857167
"22","output_run_21","PTTs",156.783554232403,10.2240525233393
"23","output_run_14","PTT",157.081125265401,10.5977591971133
"24","output_run_23","TTs",157.37124847556,10.3183695417445
"25","output_run_1","LIN",157.591056297993,11.0216360506974
"26","output_run_1","TT",157.759471382307,10.710683918406
"27","output_run_2","M1s",158.291904254011,10.1458119438515
"28","output_run_1","M1W",158.442632817328,10.4925568857167
"29","output_run_12","PWTs",158.442632817328,10.4925568857167
"30","output_run_15","WTs",158.442632817328,10.4925568857167
"31","output_run_17","SQWr",159.050301832382,10.2667545991905
"32","output_run_18","M1",159.417690781487,10.6536378763313
"33","output_run_18","M1Ws",160.260451852728,10.4627314789208
"34","output_run_22","AGSI",161.013517816914,9.94516214045804
"35","output_run_10","AT",162.940354037724,10.9101443620146
"36","output_run_8","UM1",163.753088523891,10.0607529539294
"37","output_run_13","PM1",167.081125265401,10.5977591971133
"38","output_run_2","PM1b",167.081125265401,10.5977591971133
"39","output_run_14","SQ",167.759471382307,10.710683918406
"40","output_run_4","SQb",167.759471382307,10.710683918406
"41","output_run_3","SGSI",192.731975795389,16.3248277173145
