"","GRP","SQW_cdd_Tmin","SQW_cdd","SQW_Pi_Tmin","SQWs_Pi_Tmin","SQW_NoPbase","SQWs_cdd","SM1b","SQW_Tmin","SQWs_cdd_Tmin","SQW","SQWs_Tmin","PAW","PA","SQWs","PAb","SM1","PAWs","SQWrs","PWT","WT","PTTs","PTT","TTs","LIN","TT","M1s","M1W","PWTs","WTs","SQWr","M1","M1Ws","AGSI","AT","UM1","PM1","PM1b","SQ","SQb","SGSI"
"kansas_2013",4,-6,2,-1,2,-1,-9,-2,0,-5,-1,-2,-1,1,4,0,-7,4,7,-1,-1,-1,-6,-2,-1.0763235098636,-5,-4,-1,-1,-1,-1,-6,3,-2,-2,0,-6,-6,-5,-5,-14
"kansas_2014",4,1,-6,5,-9,-7,-4,1,-6,3,-7,3,0,-4,5,-7,-4,2,1,0,0,-4,-2,-5,-1.35666828631443,-2,-5,0,0,0,0,-2,-1,-5,0,3,-2,-2,-2,-2,-1
"kansas_2015",-7,0,-5,-3,-3,0,-1,-3,1,-2,0,2,-9,-1,3,2,-4,-3,-3,-11,-11,-8,-5,-9,-6.71968588283164,-5,-9,-11,-11,-11,-11,-4,-7,-6,-4,-8,-5,-5,-5,-5,5
"kansas_2016",3,-6,-1,-5,5,-6,-3,-3,-5,3,-6,-3,-4,-1,-3,-8,-1,-6,-3,-8,-8,-5,-4,-5,-5.39832179252235,-4,-4,-8,-8,-8,-8,-4,-5,-5,-4,-6,-4,-4,-4,-4,1
"kansas_2017",-8,3,-6,-7,-9,-7,-3,-2,-6,-9,-6,-2,-7,-2,0,-9,-4,-6,4,-9,-9,-7,-5,-6,-8.42587939921114,-6,-6,-9,-9,-9,-10,-6,-7,-7,-6,-8,-5,-5,-6,-6,0
"kansas_2018",5,-3,4,6,4,5,7,4,7,4,6,4,4,6,4,-1,3,2,4,5,5,4,3,4,7.67580318890279,2,3,5,5,5,5,3,5,5,2,6,3,3,2,2,6
"kansas_2019",2,0,5,4,2,-3,-4,-1,-1,3,-3,-1,-2,1,0,-3,-8,4,-7,-5,-5,-7,-4,-9,-6.58639576361243,-4,-9,-5,-5,-5,-6,-4,-2,-8,-3,-5,-4,-4,-4,-4,-1
"konza_2013",-4,-2,5,-3,1,6,-2,7,9,4,6,1,4,12,14,12,2,14,11,11,11,9,4,9,10.1530931277155,5,5,11,11,11,11,4,13,6,6,8,4,4,5,5,-2
"konza_2014",-4,-1,-2,-2,-5,3,1,5,5,0,3,3,-2,1,3,1,0,0,7,5,5,0,2,-1,3.15262461611943,2,-1,5,5,5,5,2,4,-2,5,9,2,2,2,2,3
"konza_2015",-5,0,-4,-3,-2,1,-2,4,2,2,0,5,-3,5,5,5,1,1,5,-5,-5,-1,1,-2,0.178070415785214,1,-2,-5,-5,-5,-5,2,-1,1,2,-3,1,1,1,1,-5
"konza_2016",-4,16,-2,-2,-7,7,2,-7,8,-6,7,19,7,21,20,12,20,16,19,14,14,17,17,17,16.2896413071246,17,17,14,14,14,14,18,14,17,18,16,17,17,17,17,20
"konza_2017",7,13,8,8,3,6,10,10,8,3,6,-4,6,11,-5,1,8,-5,6,5,5,6,8,6,4.81982953770707,6,7,5,5,5,3,6,8,6,7,1,8,8,6,6,-6
"konza_2018",2,6,1,3,1,6,7,5,-2,4,6,8,-4,6,7,-1,4,5,12,6,6,5,3,5,8.3627366636844,3,3,6,6,6,6,3,6,4,3,8,3,3,3,3,6
"marena_2013",-2,-3,-2,0,-3,0,2,4,1,1,0,0,0,6,10,0,4,6,14,-1,-1,6,2,6,3.58986780461103,2,6,-1,-1,-1,-1,2,6,5,3,1,2,2,2,2,-13
"marena_2014",12,-5,-12,13,22,24,7,19,25,11,24,-3,13,0,-1,30,8,5,9,9,9,38,39,37,38.1822129418748,39,37,9,9,9,9,39,33,36,40,38,39,39,39,39,36
"marena_2015",-2,-12,0,-5,-2,-12,-2,-8,-11,-3,-12,-9,-5,-10,-8,-2,-8,-13,-12,-18,-18,-13,-10,-14,-15.0852392495517,-11,-14,-18,-18,-18,-18,-10,-16,-14,-11,-13,-10,-10,-11,-11,4
"marena_2016",4,-5,1,1,2,-11,-7,-6,-10,-2,-11,-2,0,-5,-2,-3,-2,-7,-3,-15,-15,-6,-8,-7,-9.64177376345205,-8,-5,-15,-15,-15,-12,-8,-12,-7,-8,-9,-8,-8,-8,-8,2
"marena_2017",-13,0,-11,-12,-1,-13,-9,-5,-12,-15,-13,-6,-9,-7,-5,-3,-4,-10,8,-16,-16,-8,-7,-8,-12.1728704865628,-9,-8,-16,-16,-16,-16,-8,-13,-10,-9,-8,-7,-7,-9,-9,2
"marena_2018",-2,-1,-2,-1,-3,-1,1,4,0,2,-2,1,0,-1,0,0,6,-2,-3,-3,-3,4,2,3,4.19124530986443,1,4,-3,-3,-3,-3,1,-1,5,0,1,2,2,1,1,2
"NEON.D06.KONZ.DP1.00033_2017",13,19,14,14,9,13,16,-9,14,9,13,2,13,17,1,8,15,1,12,11,11,12,14,13,11.1159375357323,13,13,11,11,11,9,13,12,12,14,8,14,14,13,13,1
"NEON.D06.KONZ.DP1.00033_2018",-5,-1,-5,-4,-3,-1,1,-2,1,-2,-1,2,-10,0,0,-7,-3,-2,5,-1,-1,-2,-3,-2,1.63879725992069,-3,-3,-1,-1,-1,-1,-3,-1,-3,-4,1,-3,-3,-3,-3,-1
"NEON.D06.KONZ.DP1.00033_2019",8,-9,11,1,8,7,10,5,8,9,7,-7,4,3,-8,14,-2,-8,-1,2,2,-1,3,-2,-0.140576205815606,3,-3,2,2,2,1,3,2,-2,3,0,3,3,3,3,3
"NEON.D11.OAES.DP1.00033_2017",-6,-2,-5,-6,-10,-7,-3,1,-6,-5,-7,1,-2,0,2,3,3,-3,6,-9,-9,-1,0,-1,-5.23743402223364,-3,0,-9,-9,-9,-9,-1,-9,-2,-3,-2,0,0,-3,-3,13
"NEON.D11.OAES.DP1.00033_2018",-13,3,-10,4,2,4,7,10,6,8,4,5,-2,9,5,6,12,2,7,1,1,9,7,9,9.13371545862111,7,9,1,1,1,1,7,0,9,5,3,7,7,7,7,6
"NEON.D11.OAES.DP1.00033_2019",10,4,12,12,10,4,8,5,5,10,4,6,6,5,6,3,3,2,4,-3,-3,2,3,1,-0.295835826465037,2,2,-3,-3,-3,-3,2,0,0,2,1,3,3,2,2,13
"NEON.D11.OAES.DP1.00033_2020",6,-8,6,6,8,2,7,0,4,4,2,-6,3,-2,-5,-3,2,-8,-1,-16,-16,0,-2,-1,-2.74285869875665,-3,1,-16,-16,-16,-16,-2,-2,0,-4,2,-2,-2,-3,-3,-4
"tuckerprairie_2019",19,13,22,11,20,9,13,15,11,20,9,18,15,1,18,8,9,14,9,11,11,9,12,8,10.2123508671827,12,8,11,11,11,9,12,16,9,13,12,12,12,12,12,15
"tuckerprairie_2020",8,-2,7,6,5,3,5,1,4,4,3,-3,3,0,-3,-12,-1,-6,4,-2,-2,-1,-2,-2,-1.82544242199049,-2,-1,-2,-2,-2,-2,-2,8,2,-2,6,-2,-2,-2,-2,-3
