"","Run","model","AIC","RMSE"
"1","output_run_12","SQW_Pi_Tmin",250.669135132004,16.4196422361387
"2","output_run_8","SQW_cdd",252.048815526986,16.6851835122425
"3","output_run_13","SQW",252.388709962207,16.7512581964099
"4","output_run_13","SQW_cdd_Tmin",253.470217948486,16.5733043960657
"5","output_run_9","SQWs_Tmin",254.289129193255,16.3472492529947
"6","output_run_17","PAWs",254.687676807941,16.4231827071539
"7","output_run_25","SQWs_Pi_Tmin",255.225598311912,16.5262300319755
"8","output_run_1","SQW_Tmin",255.848635384156,17.4389299863772
"9","output_run_14","SQW_NoPbase",255.975257353559,17.8755386973632
"10","output_run_6","SQWs_cdd_Tmin",256.572589322879,16.4012194668567
"11","output_run_8","PAW",256.597528860782,17.1870692335025
"12","output_run_16","SQWs_cdd",258.407533285775,17.1491405981703
"13","output_run_3","SQWs",258.756398070909,17.6239794360635
"14","output_run_5","SQWr",264.785758770285,19.3486974503003
"15","output_run_21","SQWrs",266.748346549915,19.3402820979402
"16","output_run_13","UM1",267.135961787607,18.5447290825233
"17","output_run_14","AGSI",267.602334477233,19.0842684514126
"18","output_run_15","PA",269.515201462639,18.6266875308546
"19","output_run_7","PAb",270.633255913964,18.8704272144489
"20","output_run_7","SGSI",271.041425145565,19.8629021978393
"21","output_run_18","GRP",272.956863166616,21.2772397230599
"22","output_run_9","SM1b",275.379520389426,20.4103257041341
"23","output_run_18","PTT",275.483930610814,22.9549609574519
"24","output_run_11","SM1",275.692840461893,20.4848213801523
"25","output_run_12","TT",276.154289256663,23.1345910343274
"26","output_run_11","TTs",276.962688964205,22.8162528770356
"27","output_run_1","PTTs",277.820416259795,23.0449510184305
"28","output_run_4","M1",278.154289256663,23.1345910343274
"29","output_run_14","M1s",278.50500157672,22.6951485441682
"30","output_run_1","LIN",279.875555452387,24.7259993663532
"31","output_run_6","AT",280.146814895442,23.1325804671629
"32","output_run_18","PM1b",286.14307722757,23.1315751180472
"33","output_run_4","SQ",286.154289256663,23.1345910343274
"34","output_run_8","PM1",286.158025950126,23.1355962523875
"35","output_run_16","SQb",286.174837053488,23.1401191932771
"36","output_run_17","WTs",310.176298689984,33.5715133949589
"37","output_run_1","M1W",310.778076791154,33.8072511831137
"38","output_run_1","WT",311.993583057853,35.0952193126735
"39","output_run_17","PWTs",312.814931002034,34.6175113638063
"40","output_run_14","PWT",313.058494081855,35.5324941361408
"41","output_run_15","M1Ws",313.450867525617,34.0727675478834
