"","SQW_Pi_Tmin","SQW_cdd","SQW","SQW_cdd_Tmin","SQWs_Tmin","PAWs","SQWs_Pi_Tmin","SQW_Tmin","SQW_NoPbase","SQWs_cdd_Tmin","PAW","SQWs_cdd","SQWs","SQWr","SQWrs","UM1","AGSI","PA","PAb","SGSI","GRP","SM1b","PTT","SM1","TT","TTs","PTTs","M1","M1s","LIN","AT","PM1b","SQ","PM1","SQb","WTs","M1W","WT","PWTs","PWT","M1Ws"
"hartprairie_2016",11,11,11,-2,-6,9,-9,-8,14,-4,8,12,11,4,4,-6,2,-9,-8,0,-5,4,-4,4,2,-4,5,2,-4,-1.19727012760541,2,1,2,1,1,38,45,67,57,67,57
"segaarboretummeadow_2018",6,-25,7,-26,41,29,-1,38,12,42,25,-24,52,39,39,63,15,76,77,24,70,8,73,8,72,72,72,72,71,74.9680339378868,72,71,72,71,71,40,39,39,18,39,13
"segaarboretummeadow_2019",10,10,10,12,0,-5,9,-4,19,-4,-1,10,-8,17,17,-8,5,-7,-5,-2,0,12,0,12,3,-1,7,3,-1,6.99258839128851,3,1,3,2,1,39,86,34,35,34,34
"segaarboretummeadow_2020",-1,-1,0,-1,1,9,1,-2,6,4,3,-1,9,-9,14,0,9,-3,-2,6,1,14,1,12,6,11,2,6,11,12.511681922253,6,4,6,5,4,12,67,66,32,66,14
"segabluechute_2019",6,6,-30,6,-1,-23,-4,0,-20,-12,-13,0,-13,21,21,5,21,11,14,-13,21,22,14,22,21,20,20,21,18,20.5018989556214,21,19,21,20,20,-10,18,21,6,21,7
"segahartprairie_2020",7,7,7,8,-6,8,5,-9,12,-4,-2,8,8,-22,-22,7,6,-12,-10,19,8,10,-2,9,7,17,0,7,16,8.65647577472828,7,7,7,7,7,25,60,60,53,60,59
"ahwahnee_2010",-2,-2,-3,5,-22,-18,-11,-25,4,-18,6,-1,-25,-19,-19,-11,-20,-18,-17,-27,-35,-12,-21,-15,-28,-27,-23,-28,-29,-34.9622446877755,-28,-29,-28,-29,-29,54,44,9,40,9,40
"ahwahnee_2011",-3,-3,-3,2,-4,-5,-6,3,2,-2,9,-2,-9,-10,-7,-28,-12,-12,-10,-10,-20,-8,-13,-10,-18,-21,-7,-18,-21,-23.220104006672,-18,-19,-18,-18,-18,58,56,22,54,22,55
"ahwahnee_2013",-8,-8,-8,-6,-7,-7,-9,-11,-3,-5,-6,-8,-10,-2,-2,0,-17,-11,-10,0,-13,-14,-16,-14,-15,-8,-18,-15,-8,-0.421052880456458,-15,-16,-15,-16,-15,15,-3,-2,12,-2,21
"ahwahnee_2014",-21,-22,-21,-21,-4,-10,-19,-6,-16,-2,-22,-21,-5,-3,-3,-22,2,-4,-2,7,-7,-5,-19,-7,-3,-3,4,-3,-3,-8.91962576301479,-3,-5,-3,-6,-4,-7,24,-3,-10,-3,-10
