"","Run","model","AIC","RMSE"
"1","output_run_15","SQWs",315.114710961742,7.75294190021492
"2","output_run_11","SQWs_Tmin",316.981497604435,7.74596669241483
"3","output_run_25","SQWs_cdd",317.892533173915,7.79379517585901
"4","output_run_9","SQWs_cdd_Tmin",319.064784051044,7.75032693294725
"5","output_run_10","SQW_NoPbase",325.452891339045,8.54163096015389
"6","output_run_13","GRP",325.985578020383,8.45736525325867
"7","output_run_18","SQW",326.653628448034,8.49562685595805
"8","output_run_10","SQW_Tmin",327.288233381251,8.53213322078935
"9","output_run_15","SQW_cdd",327.452891339045,8.54163096015389
"10","output_run_22","SQW_Pi_Tmin",327.535083128316,8.54637587170963
"11","output_run_1","PAW",328.819702952002,8.50516536216891
"12","output_run_16","SQW_cdd_Tmin",328.985405577687,8.5146931829632
"13","output_run_22","PAWs",329.915641336224,8.45336971032614
"14","output_run_21","SQWs_Pi_Tmin",329.957611277797,8.45576726264388
"15","output_run_20","PAb",332.317184844776,8.36256135597416
"16","output_run_1","LIN",333.252810239736,9.25053280372765
"17","output_run_23","SM1b",334.284284189574,8.589748761389
"18","output_run_13","PA",334.389912516676,8.48050227987228
"19","output_run_12","PTTs",334.704481931494,9.09261654726931
"20","output_run_3","SM1",334.878231194267,8.62429002169908
"21","output_run_20","M1s",334.966680887028,8.98647632594427
"22","output_run_3","PTT",335.3771101038,9.25830525615872
"23","output_run_16","TTs",335.737447900827,9.15630044493068
"24","output_run_8","SQWr",336.559193926708,9.08369492626836
"25","output_run_22","SQWrs",337.016195776798,8.9894833450433
"26","output_run_19","TT",337.572502922807,9.39666415794974
"27","output_run_8","M1",339.922759321422,9.41892861296954
"28","output_run_23","UM1",342.692385486841,9.091873413228
"29","output_run_20","AT",344.937725297636,9.61277303411484
"30","output_run_7","PM1",345.342102612806,9.25611558245011
"31","output_run_2","PM1b",345.342102612806,9.25611558245011
"32","output_run_18","SQ",347.538518995688,9.39450673301993
"33","output_run_10","SQb",347.538518995688,9.39450673301993
"34","output_run_25","AGSI",349.787752819335,9.66814216760247
"35","output_run_20","PWTs",362.332699319539,10.9587679323268
"36","output_run_18","M1Ws",364.040686989541,10.9371669833473
"37","output_run_1","WT",368.960698041372,11.6166236896073
"38","output_run_10","PWT",369.286038293634,11.6421879619142
"39","output_run_25","WTs",369.991023850116,11.5407620714227
"40","output_run_14","M1W",370.960698041372,11.6166236896073
"41","output_run_2","SGSI",400.381968063184,13.6084234645013
