"","SQWs","SQWs_Tmin","SQWs_cdd","SQWs_cdd_Tmin","SQW_NoPbase","GRP","SQW","SQW_Tmin","SQW_cdd","SQW_Pi_Tmin","PAW","SQW_cdd_Tmin","PAWs","SQWs_Pi_Tmin","PAb","LIN","SM1b","PA","PTTs","SM1","M1s","PTT","TTs","SQWr","SQWrs","TT","M1","UM1","AT","PM1","PM1b","SQ","SQb","AGSI","PWTs","M1Ws","WT","PWT","WTs","M1W","SGSI"
"bozeman_2017",8,4,2,8,9,9,9,9,9,10,8,9,9,9,6,8.32079483165768,7,5,12,7,10,6,7,5,5,7,5,1,2,6,6,7,7,14,21,21,17,17,27,17,-6
"bozeman_2019",13,-1,11,-1,14,14,10,14,14,12,9,14,10,10,11,14.7101542760283,10,12,20,10,17,11,12,6,13,10,10,11,11,11,11,10,10,15,38,36,36,36,43,36,4
"grandrivergrass_2016",-2,3,2,0,0,0,9,0,0,-1,8,1,8,9,0,-2.59176812857433,3,-2,0,3,0,-1,-1,3,-2,2,0,-7,-3,-1,-1,2,2,3,-10,-10,-12,-12,-9,-12,4
"grandrivergrass_2018",1,3,2,1,1,4,6,1,1,3,5,1,5,5,-3,5.81624831694643,4,-2,4,3,2,2,1,-2,-2,3,1,2,1,2,2,3,3,3,-3,-2,-2,-2,-6,-2,9
"lethbridge_2012",18,14,15,12,24,24,20,24,24,23,19,24,19,19,29,26.6635085367069,-5,28,26,-3,27,28,27,17,23,28,29,25,27,28,28,28,28,26,21,20,17,17,22,17,18
"lethbridge_2013",6,11,12,8,13,13,11,13,13,13,11,13,10,10,7,13.2528101965049,13,13,14,13,15,14,13,13,14,13,16,12,14,14,14,13,13,9,11,11,13,13,11,13,20
"lethbridge_2014",3,4,4,4,5,7,6,2,5,8,5,2,5,5,8,6.38515799576305,6,9,6,6,7,6,6,9,0,5,8,8,6,6,6,5,5,6,8,8,18,18,9,18,5
"lethbridge_2015",8,5,4,6,16,18,11,16,16,14,10,16,10,10,20,17.3169132146213,21,18,16,22,17,19,19,16,16,21,21,14,18,19,19,21,21,17,9,9,16,16,10,16,1
"lethbridge_2016",-1,-6,-5,-4,3,1,-1,3,3,1,-1,3,-2,-2,15,8.92407676063482,16,10,8,15,10,14,13,10,10,15,15,10,13,14,14,15,15,11,-2,-2,9,9,-1,9,-6
"lethbridge_2017",-3,-5,-5,-2,5,3,1,5,5,3,0,5,0,0,5,0.622826159395004,3,4,-2,3,2,2,1,3,3,2,5,3,5,2,2,2,2,3,-5,-5,3,3,-4,3,5
"lethbridge_2018",2,6,6,5,-1,-1,-1,-6,-1,0,-2,-6,-2,-2,-3,-0.15847361643759,-2,3,-1,-2,1,0,-1,2,3,-2,3,5,3,-1,-1,-2,-2,-2,-1,-1,2,3,0,2,13
